docker compose -f docker-compose-dev.yaml logs -f
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     action: config | result: success | logging_level: INFO
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Socket connected: <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.6', 46168), raddr=('172.25.125.2', 5672)>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f26698ee370>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f26698ee370> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f26698ee370> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f26698ee370> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f26698ee370> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Created channel=1
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Socket connected: <socket.socket fd=10, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.6', 33342), raddr=('172.25.125.2', 5672)>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2669906d00>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2669906d00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2669906d00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2669906d00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2669906d00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Created channel=1
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Socket connected: <socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.6', 33354), raddr=('172.25.125.2', 5672)>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f6a760>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f6a760> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f6a760> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f6a760> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f6a760> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
